Cod;Municipio;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
2111607;São Raimundo das Mangabeiras;210096;294899;268376;298270;299282;309957;518252;467217;376169;361951;303930;350793;382688;412827;428627;403135;417334
2111631;São Raimundo do Doca Bezerra;31516;30046;28201;28380;29577;27976;29871;30979;36385;40521;34912;36306;41657;37530;39843;37066;38455
2111672;São Roberto;21317;22338;21786;23748;23679;25047;28279;31899;35464;44208;37085;38873;42012;40222;41656;45084;41077
2111706;São Vicente Ferrer;81443;86735;91331;90319;105808;104013;120672;117824;115903;123621;124537;142642;145808;134483;140505;138041;137312
2111722;Satubinha;33177;38014;38237;35901;41503;40356;56126;47433;48497;54197;58698;61690;67346;67474;71206;69323;71397
2111748;Senador Alexandre Costa;37836;39117;45328;41222;45124;54422;55261;60673;58300;60968;61504;62794;77170;68956;67627;77533;81235
2111763;Senador La Rocque;95133;119568;125274;120536;125838;134345;154318;153175;150496;151385;146017;154648;153852;145624;160272;156988;145403
2111789;Serrano do Maranhão;25288;24473;24043;35531;33697;44132;53231;56155;49969;52742;51421;55692;64731;65043;69230;70285;68906
2111805;Sítio Novo;89569;92391;95748;86295;89820;97339;98470;101591;104805;117854;126446;123657;128015;137172;146954;149148;152592
2111904;Sucupira do Norte;54608;64327;59477;49011;46081;41806;56366;57131;55469;60437;63555;69962;75821;76475;69965;77658;77725
2111953;Sucupira do Riachão;27312;31769;26739;23733;23598;21365;26867;28483;28234;30611;31297;34255;41079;41084;42594;44213;40974
2112001;Tasso Fragoso;305482;682556;524057;561447;335552;338692;847924;716870;702062;834693;941403;980367;1003453;849228;530645;1028517;1164695
2112100;Timbiras;94069;101405;103704;100028;106188;106738;124085;124914;118930;133099;130337;140247;144660;147064;150022;157059;167897
2112209;Timon;900466;954440;1035197;1163907;1197084;1213360;1280481;1465310;1668624;1559623;1562693;1698090;1756872;1569436;1736099;1876868;1867974
2112233;Trizidela do Vale;132547;149529;116592;113892;121812;128317;142621;148726;143191;147711;149620;161091;185220;172155;188707;201008;281758
2112274;Tufilândia;24035;29196;30669;29034;35899;30978;35988;49746;38050;37453;39040;40387;43811;43581;43255;48897;48607
2112308;Tuntum;190593;184060;194818;200644;217107;201829;234286;261723;241361;279723;252583;289439;315609;292155;301375;288907;313331
2112407;Turiaçu;193178;203915;213288;207706;214370;224393;271951;244673;257775;287159;279302;331668;332310;296370;315256;299178;254813
2112456;Turilândia;87603;94566;97054;101922;97552;113806;125917;131401;125984;149034;141387;149539;166599;153025;157069;163695;158969
2112506;Tutóia;159219;157548;178922;181136;204577;228465;243835;270807;264884;309523;312007;345870;375866;375888;422310;412140;408956
2112605;Urbano Santos;73563;87335;92209;91036;105497;113726;121568;137865;129977;161394;141241;153024;183140;169064;191566;189887;191043
2112704;Vargem Grande;154921;163070;162120;187122;206111;217300;227079;257611;274315;277676;284433;301629;339727;312264;307533;321613;325705
2112803;Viana;233282;236561;229588;243553;267775;261149;305414;322317;314892;322846;349927;382416;411420;410916;436975;426335;412359
2112852;Vila Nova dos Martírios;43454;49535;60617;74063;61995;68918;71033;66983;70753;82364;79754;88268;109700;106395;236706;113078;110572
2112902;Vitória do Mearim;143109;143845;154800;174175;177905;181472;204681;204144;189075;228762;229416;239005;255882;328267;306583;267018;257814
2113009;Vitorino Freire;184260;181956;198666;199841;212506;191570;203791;246497;205760;226555;223680;239879;234568;231689;230316;234630;257078
2114007;Zé Doca;248649;268887;255781;280423;293156;311209;349996;360892;383512;439472;435582;464816;476874;412544;412983;403560;433870
2200053;Acauã;21099;23680;26412;24239;29168;31188;34673;40131;40241;44866;42372;42844;46359;48286;49395;46372;52096
2200103;Agricolândia;17677;21999;22430;21208;23552;24436;26306;27043;26581;31339;27408;29586;30889;33487;31981;35736;37493
2200202;Água Branca;78860;71611;77622;94074;105847;111338;126356;121577;131189;134500;154206;166319;177176;179879;189649;191499;200564
2200251;Alagoinha do Piauí;25988;26049;27861;29319;33594;38551;42102;44410;42390;59656;43249;46545;49187;52865;49668;51861;54410
2200277;Alegrete do Piauí;18988;23680;21836;22429;25871;26147;38834;33960;33618;36070;33496;33499;37422;37382;36860;35272;35944
2200301;Alto Longá;46296;50505;51692;53034;55138;68325;67208;73130;78387;78615;75831;77953;86120;93998;93969;93135;100596
2200400;Altos;193298;199488;194407;213660;232760;229027;246815;250794;272713;281011;286720;321593;367759;353517;375328;389704;419008
2200459;Alvorada do Gurguéia;22206;35378;40775;32212;33914;37916;58180;59203;39663;61939;71898;52626;71692;69564;56647;77274;70755
2200509;Amarante;76797;75214;82997;81746;102767;105800;110240;118489;116340;127562;123505;124977;140661;135212;135026;140573;144372
2200608;Angical do Piauí;30212;33160;33503;33696;37654;36429;40058;43915;43311;45022;45139;54807;57796;54615;53628;57744;64039
2200707;Anísio de Abreu;26987;29031;28753;32691;31385;37976;40503;45907;50538;58241;56036;62817;70815;72216;74022;69756;77269
2200806;Antônio Almeida;74796;74085;72497;67711;53054;73005;82058;62315;136963;158964;185751;108805;95419;61149;49718;73794;136649
2200905;Aroazes;26923;28994;32146;30259;35292;35649;39001;43152;39489;43136;40004;42843;45800;47269;46912;47307;48660
2200954;Aroeiras do Itaim;#VALOR!;#VALOR!;#VALOR!;14419;15643;14128;16883;17376;15746;16599;16479;16615;17840;18022;17947;18768;21585
2201002;Arraial;17220;19293;20316;21559;21813;23738;27246;29355;28690;31243;30158;30900;32954;32340;34973;35822;37152
2201051;Assunção do Piauí;25596;21451;26840;33885;42227;35262;41518;41175;38695;42414;41627;46004;46222;47362;47481;49517;55577
2201101;Avelino Lopes;34978;33626;39488;41391;50659;51450;58865;59244;61987;65310;62934;67703;72290;75246;76965;81256;79069
2201150;Baixa Grande do Ribeiro;64515;124908;188031;186464;156444;190461;340405;416792;253501;430068;532780;407017;602544;655504;257901;778010;953258
2201176;Barra D'Alcântara;18845;19927;17535;17263;19713;20839;23467;23434;25780;27105;27559;29006;31448;30661;30805;33826;33275
2201200;Barras;194015;188624;216428;224185;234595;246501;257572;281364;291129;321531;317560;345491;352959;358292;376739;385804;394868
2201309;Barreiras do Piauí;15250;15969;16089;15259;16527;19365;18228;21105;17321;21426;22286;23439;24706;25295;25642;25313;27412
2201408;Barro Duro;32022;32935;35366;34379;39697;39699;55420;47714;51294;55974;59407;59757;61841;64817;60962;64838;68556
2201507;Batalha;94747;101069;109636;104713;121764;130065;138935;149998;153052;160747;161845;172822;178308;175520;178436;185450;191984
2201556;Bela Vista do Piauí;14761;14157;14477;14635;15774;19255;21079;24136;24617;29755;27736;28997;33134;33746;31278;34612;35210
2201572;Belém do Piauí;11516;12485;11487;13868;15855;16035;18929;17467;18403;20515;20764;22764;25159;27243;26917;27928;29181
2201606;Beneditinos;36609;39592;38569;39618;42030;48234;50280;52534;54817;57736;59173;59253;66694;66219;69437;72312;75957
2201705;Bertolínia;24970;28517;28858;29918;31015;35389;37495;45232;46200;52237;49516;46602;52983;51071;51794;55717;58726
2201739;Betânia do Piauí;28700;31758;32988;35231;37951;38832;36533;38394;36805;41363;39239;39024;41383;44335;46441;45462;52702
2201770;Boa Hora;22605;23839;25383;24376;25968;27913;29847;34102;32350;34163;35401;44059;48901;43020;47248;47766;52732
2201804;Bocaina;22177;22344;24483;24165;26966;26874;29958;29390;29812;32124;31951;32174;36196;38553;37648;50578;43704
2201903;Bom Jesus;140245;235654;299800;282511;261136;254695;360264;394130;348534;463518;565901;453346;637289;755352;556561;913052;908345
2201919;Bom Princípio do Piauí;22709;26046;24647;25273;28864;32199;33141;33021;33268;37984;36803;38801;43074;40598;44541;51316;52807
2201929;Bonfim do Piauí;16915;19722;21005;23278;23012;24874;26503;29116;29476;32277;31732;33660;36395;36760;38772;38319;41471
2201945;Boqueirão do Piauí;19653;18838;17791;18769;21928;27425;28766;32071;32324;33188;34232;39904;40110;40763;40921;42004;43252
2201960;Brasileira;25161;29825;26452;27643;30732;35324;37385;38435;40864;44681;42708;48095;52165;50166;52194;56049;56112
2201988;Brejo do Piauí;13080;15753;13252;19692;23005;20178;25235;24371;24798;26493;27768;30222;30996;32426;32002;33216;34226
2202000;Buriti dos Lopes;93212;98783;112080;99230;102389;122656;133787;140383;150834;144973;140375;152368;159220;157799;165433;164236;174276
2202026;Buriti dos Montes;27111;29714;28679;31925;34946;37966;40707;43399;44366;45033;45558;46446;50209;50703;49344;53624;57380
2202059;Cabeceiras do Piauí;33923;34761;38152;35531;41602;46284;47836;54334;53048;55519;53917;56117;60170;60001;62672;61738;67421
2202075;Cajazeiras do Piauí;12645;14285;14804;14274;14272;15577;17095;18302;19460;21675;20445;22818;25455;25389;25190;26556;27716
2202083;Cajueiro da Praia;35500;41221;39509;41745;44079;52122;54325;53915;56134;59421;63761;72903;77796;77169;81203;85216;81989
2202091;Caldeirão Grande do Piauí;21670;23743;26402;23278;28590;28815;32585;35282;33659;34910;35613;33258;49581;59580;51617;47553;107137
2202109;Campinas do Piauí;22118;24496;24011;23414;27942;30165;31421;38533;34730;39523;35884;37888;41872;42913;42774;44286;43991
2202117;Campo Alegre do Fidalgo;17995;16836;16986;17462;20320;23429;26108;26693;26887;28853;28728;31551;33774;33990;34285;35453;37816
2202133;Campo Grande do Piauí;24305;26438;22641;27265;29343;32912;34830;34889;35118;42170;37716;41926;47958;54246;54605;52024;57380
2202174;Campo Largo do Piauí;24373;25284;25386;23266;25245;30842;33483;33934;35420;36294;37537;39989;41427;41784;42769;43586;49785
2202208;Campo Maior;249382;246200;275704;310950;367365;368302;368482;425579;453388;467234;478025;499790;551940;539926;564966;568866;610943
2202251;Canavieira;17314;20134;18786;23190;21721;22095;23682;28957;26168;29321;27076;30430;31647;31239;29285;32764;31405
2202307;Canto do Buriti;96284;103671;110520;128323;140899;139979;146547;151845;167598;180881;179219;184819;202220;211523;220477;216843;222099
2202406;Capitão de Campos;38322;43942;40717;38906;44500;47000;52174;58901;57857;60861;61830;68246;75565;74933;80718;86292;92595
2202455;Capitão Gervásio Oliveira;14196;13833;12598;17710;18367;20898;21971;23447;25799;27091;26829;29048;29366;29152;30507;31508;33207
2202505;Caracol;42115;46757;41499;42629;41988;48638;54467;61215;58746;64466;62234;72045;75016;78821;78087;72294;79750
2202539;Caraúbas do Piauí;22420;23347;25090;24531;26212;29904;31321;33588;35244;38065;38370;42341;44572;43459;43862;46952;47388
2202554;Caridade do Piauí;16752;16779;18902;20483;22117;23794;27495;26963;28437;31675;33165;32521;32777;35370;38468;34336;39081
2202604;Castelo do Piauí;87814;88490;102039;108680;116560;123806;136064;128556;139943;141544;143080;150351;140997;157479;165370;166543;175769
2202653;Caxingó;24227;26171;28323;26602;27762;32026;33251;36367;37423;39141;39014;41287;41008;43184;45376;45655;46253
2202703;Cocal;99191;105809;106599;111858;124647;135825;151754;137539;149345;156278;161334;178635;197366;199222;209241;220921;221780
2202711;Cocal de Telha;17151;18818;20348;21724;23189;24354;25712;27056;29245;30527;30949;35562;36476;36758;37364;39196;40055
2202729;Cocal dos Alves;19954;21616;20686;22817;23044;25549;27004;28692;32233;35302;35680;36126;39053;42238;43575;46449;47249
2202737;Coivaras;12791;13353;13825;14247;15243;18680;20207;22662;23270;24660;26467;28118;30104;27687;29054;31097;32145
2202752;Colônia do Gurguéia;23374;25454;27083;28510;35480;33422;38007;40057;43862;46275;47207;46776;51172;50043;55676;54660;59584
2202778;Colônia do Piauí;28460;29665;31864;33246;35460;39048;42251;42625;45560;46556;45512;49377;53320;56573;54239;53852;55391
2202802;Conceição do Canindé;22180;22534;22734;21729;23486;22668;25200;26235;26347;30346;33379;34078;37538;39911;44332;44453;49286
2202851;Coronel José Dias;15341;16006;15949;19194;20879;22841;21804;25778;28598;29118;24265;31242;31900;32642;32824;33661;35235
2202901;Corrente;144942;139674;154634;167621;197222;194716;195504;220920;276125;281494;260770;275696;310702;321846;304612;398187;453884
2203008;Cristalândia do Piauí;27474;32449;35094;33143;35110;38772;43241;49183;45903;49026;47568;53222;51290;55192;52947;56155;56683
2203107;Cristino Castro;40762;44005;46386;52010;51678;53553;57248;64239;68743;74605;76178;88753;97576;95946;94330;103496;101931
2203206;Curimatá;52820;48597;55031;55375;58977;68209;67946;74002;74479;93447;115640;95251;95433;92999;91138;92827;102027
2203230;Currais;15899;36592;60205;73532;61522;47164;89789;87310;59591;103850;121152;82700;153541;146690;64479;163484;272393
2203255;Curralinhos;17619;17456;18453;17796;17497;19199;19098;19933;20145;22188;21116;22126;27520;26013;26086;27318;30494
2203271;Curral Novo do Piauí;14336;15363;17166;16327;17762;22627;23761;25282;24957;28516;27755;30483;30643;35109;36382;315918;71195
2203305;Demerval Lobão;45417;50237;53650;56404;57977;60253;59740;62663;69164;80234;99464;114542;158841;152698;150567;139272;168917
2203354;Dirceu Arcoverde;22261;24260;26726;28415;30557;32273;33616;37478;38265;40198;40889;39463;40364;41173;42607;46219;51709
2203404;Dom Expedito Lopes;34235;34431;37828;38820;47410;47560;44478;57461;57565;62836;61878;57105;62614;71571;74569;69936;74904
2203420;Domingos Mourão;17184;19204;18467;20336;23154;25389;24363;25017;25183;26681;24882;27528;31369;31366;32929;33344;33774
2203453;Dom Inocêncio;28142;29341;29824;32917;33939;38733;41858;46122;46325;48670;46099;50247;57620;58102;57524;59267;61119
2203503;Elesbão Veloso;73066;70494;79849;76971;78890;86772;111289;97697;101096;104147;106315;111915;123745;126528;126845;129307;138420
2203602;Eliseu Martins;24237;24576;24003;25646;26511;28231;34727;34326;35251;37424;35908;39294;45860;43129;43648;42682;44729
2203701;Esperantina;173928;181532;189205;204053;235681;218748;246364;254789;272105;282770;296936;311395;333309;339143;352157;353628;375291
2203750;Fartura do Piauí;15925;16751;17562;18462;19308;22642;23892;25006;25469;27631;25291;28964;30706;29590;28772;29128;30567
2203800;Flores do Piauí;23656;28639;22338;25531;22009;24738;25925;29455;29330;29853;29534;30582;35076;37361;32418;37647;37571
2203859;Floresta do Piauí;11565;11871;11846;12191;13663;15066;15766;16710;16098;18205;17042;19650;21681;20097;20835;20899;21554
2203909;Floriano;496373;475041;553430;578673;682132;706503;746036;777656;939372;1011972;1029263;1067972;1148553;1076930;1105588;1065249;1104970
2204006;Francinópolis;23620;23353;24602;22183;25538;28529;30232;31551;31837;39264;35629;33207;37558;37012;36262;37783;38817
2204105;Francisco Ayres;19847;22656;22549;24462;24157;25955;27322;32692;27454;30237;28317;30973;35680;38378;32513;38063;38522
2204154;Francisco Macedo;9859;11976;11616;13127;15128;15008;18399;17208;18280;19325;18669;18198;20857;22272;26139;24343;29894
2204204;Francisco Santos;30634;38486;39691;38210;40684;47938;46300;52043;55565;61766;55439;57144;64358;67041;68623;65102;70268
2204303;Fronteiras;237366;240359;194871;214431;257485;247660;286364;302665;315879;317188;294890;250536;296734;210059;200085;152737;101016
2204352;Geminiano;21524;22699;23000;21913;26055;29642;35986;35248;37460;39263;41969;43253;46956;48867;51371;44630;46974
2204402;Gilbués;60522;73013;97777;96300;77505;90563;152398;152869;124816;178360;202042;130406;208106;208343;123121;194234;226349
2204501;Guadalupe;135752;98305;267049;183872;195947;133830;116289;212878;338293;316910;324312;313507;303217;298116;465429;558656;741264
2204550;Guaribas;13482;16003;16057;18440;20373;22981;23459;25149;24542;28371;25943;29517;32597;33851;32972;32052;33488
2204600;Hugo Napoleão;15497;18448;20960;16919;18523;19979;23527;26517;24370;26078;23864;26432;29240;28192;28161;27951;29636
2204659;Ilha Grande;39195;40081;42865;41337;44332;50056;59034;60469;60486;61034;62369;68910;73931;70748;72490;71316;72755
2204709;Inhuma;58173;64406;68006;67028;77096;89124;87294;100206;91176;103270;100227;110691;118744;119406;124554;127831;137043
2204808;Ipiranga do Piauí;35977;38392;40026;43467;47109;50873;54963;57946;58922;64045;63303;64861;71834;70160;74066;71485;72083
2204907;Isaías Coelho;30679;32770;30803;32853;35572;37622;42478;45854;45338;51060;49383;51211;54734;53892;53684;56179;62741
2205003;Itainópolis;47636;50124;42794;48839;55002;56581;60711;70178;69930;75516;69055;74858;78130;76378;84329;83392;88743
2205102;Itaueira;57443;68225;63950;67512;63268;66402;73270;86449;88273;81256;87120;89980;101828;107958;104080;113943;110176
2205151;Jacobina do Piauí;25859;26410;26755;25976;29948;30829;34677;39451;39820;43089;41698;41554;44165;44952;41480;45027;48607
2205201;Jaicós;71529;76832;76498;82070;91596;91871;107842;117051;121939;141601;135351;154603;157076;152123;158243;167308;171845
2205250;Jardim do Mulato;17804;18300;20071;15968;19874;24019;24824;26267;25307;27638;25835;26558;28613;29587;28564;30776;29926
2205276;Jatobá do Piauí;22420;30336;21995;24927;28268;27857;28947;35974;37399;37303;36999;37108;39258;38093;37815;41837;42490
2205300;Jerumenha;23640;21948;27022;22581;25696;24585;31429;29572;33881;33769;42379;39672;46562;51736;43509;45327;43566
2205359;João Costa;13739;14931;16522;17450;17210;18535;20195;21525;22992;23854;22341;20188;23505;23268;24792;27118;27245
2205409;Joaquim Pires;49381;52288;52481;49738;55858;61180;74985;72278;72011;77862;76836;82287;89728;91839;94510;94635;96669
2205458;Joca Marques;17648;19165;20628;20088;22446;26130;26916;28120;27334;29953;29476;30930;33601;33932;34699;36051;38675
2205508;José de Freitas;188935;201046;203355;218978;240121;251766;259696;267850;283876;298336;294773;319294;323054;321007;321205;334057;350170
2205516;Juazeiro do Piauí;19860;18226;21459;21446;27806;36064;38395;33056;37928;37839;35741;35694;41734;41778;42718;43592;47895
2205524;Júlio Borges;18838;21016;22114;21692;23205;26240;31027;32912;32831;35892;34329;36498;38525;41915;41210;42268;43182
2205532;Jurema;18835;21158;18161;23318;22671;24805;26986;30870;29429;33258;31919;31631;33536;34484;35895;36859;40467
2205540;Lagoinha do Piauí;10495;11655;12265;11085;13660;14649;16310;17322;16105;16954;17289;16831;20145;20084;19641;21120;22299
2205557;Lagoa Alegre;26189;28096;31793;33283;35011;40025;40083;44180;44137;47192;47083;48646;50346;57128;58765;61370;62623
2205565;Lagoa do Barro do Piauí;20392;20055;20797;22436;23136;25503;26781;28126;27766;29660;29807;32277;32718;35574;32833;38985;176847
2205573;Lagoa de São Francisco;22773;24271;23829;23846;27541;29925;30232;33943;36140;36438;39001;39608;41689;40514;41215;41663;45124
2205581;Lagoa do Piauí;54831;38312;35812;28260;33674;43440;49007;42693;94769;89184;58332;46901;54158;40208;42372;45717;50005
2205599;Lagoa do Sítio;21388;26327;22615;21252;23851;26729;32800;33180;31033;37089;31820;32590;34630;36230;39331;47792;42396
2205607;Landri Sales;27688;29080;30663;31114;29816;28715;56126;60264;54810;63400;67917;59743;74096;92534;60084;64574;77731
2205706;Luís Correia;135142;141403;144007;145028;155859;173216;184812;184478;199005;213043;224917;253799;273828;274703;279777;299806;305912
2205805;Luzilândia;107911;106733;106596;114644;120874;138576;146457;155719;191291;182793;168908;185674;206728;197622;201371;200357;206548
2205854;Madeiro;29842;33618;34880;32313;36019;40922;43791;44952;44487;44046;42472;48478;49367;49392;51828;50831;53521
2205904;Manoel Emídio;23919;35759;32772;39353;39830;30995;43326;53065;40606;50711;40521;41575;42433;42035;43021;44317;42089
2205953;Marcolândia;23782;24493;25803;28685;32708;38882;37536;44248;48920;53170;52968;54503;60259;69349;67667;64791;69608
2206001;Marcos Parente;18812;19634;21351;19496;22140;22108;27095;27904;28892;31615;30143;32093;35797;40119;36423;41521;41801
2206050;Massapê do Piauí;22056;22759;22760;23485;25857;27643;32211;31201;31596;32697;32104;35045;37157;38024;38799;40700;42105
2206100;Matias Olímpio;37927;37081;38166;37606;47502;50663;48381;51880;58049;58103;60238;69765;77795;79346;80971;75336;77170
2206209;Miguel Alves;125137;113529;133001;130605;146239;172446;167916;173037;185595;191186;196814;206053;208295;214330;216844;238339;238849
2206308;Miguel Leão;11818;12409;12133;11500;12772;11407;11117;11914;12587;12749;13109;13087;17968;13469;12652;15387;16536
2206357;Milton Brandão;25083;26364;25871;26152;30435;30956;31848;34117;34540;38047;38278;40730;43575;42522;42811;45131;46940
2206407;Monsenhor Gil;46660;45833;53988;50659;69631;75255;78335;88569;110935;112417;96036;91087;103659;97818;100094;95131;94011
2206506;Monsenhor Hipólito;28532;32298;31529;33308;35510;37006;41554;42630;45191;53442;46303;47766;51131;54041;53694;56835;62948
2206605;Monte Alegre do Piauí;44849;62023;79643;79577;74772;86692;115224;113666;98894;120604;140984;106168;126898;149859;116619;162098;196144
2206654;Morro Cabeça no Tempo;19490;19790;19765;19427;20842;24122;23833;26750;27505;31461;28661;29814;29629;29295;27789;32001;31608
2206670;Morro do Chapéu do Piauí;26653;28167;29204;27552;30734;32804;34250;37126;35915;39250;38482;40767;43944;44091;45923;46502;47196
2206696;Murici dos Portelas;28282;30479;32521;33033;29922;38677;41582;43997;48142;50148;52223;57876;59126;58791;64804;67647;67295
2206704;Nazaré do Piauí;33378;37522;34213;34251;37314;35566;34937;41216;41091;43464;42950;45141;48477;48710;49540;50735;54053
2206720;Nazária;#VALOR!;#VALOR!;#VALOR!;#VALOR!;#VALOR!;#VALOR!;#VALOR!;37363;49255;52835;53718;58014;72624;75561;79588;82420;87114
2206753;Nossa Senhora de Nazaré;15202;16452;16754;17423;18882;21585;21591;24865;25430;27297;22451;28956;32107;33555;33376;34873;38050
2206803;Nossa Senhora dos Remédios;27662;28980;30059;27911;30375;37475;41427;44993;50164;53949;55493;55570;61002;60460;61560;62507;68954
2206902;Novo Oriente do Piauí;26790;28855;28025;27710;28880;29727;32327;35606;36818;41162;38414;38099;44053;44814;42862;43900;45821
2206951;Novo Santo Antônio;14423;17666;15593;15308;16117;18183;19090;20368;22151;24076;23079;22544;24316;23925;22931;23107;24021
2207009;Oeiras;201662;189988;199186;233839;284553;258715;254840;290064;328553;351392;337025;347720;386766;389937;409174;419156;441017
2207108;Olho D'Água do Piauí;11821;13518;14126;9572;10870;12525;18689;18604;18173;18756;17384;17658;18408;19057;18188;20955;20842
2207207;Padre Marcos;30404;30877;32405;37894;37898;39932;47395;44834;44312;50136;49823;50422;54765;54488;56580;56596;59726
2207306;Paes Landim;21820;21835;19184;19965;20948;23078;25152;26187;28700;32843;31586;32040;37077;36965;37074;36714;38345
2207355;Pajeú do Piauí;13164;14928;13667;15863;14944;19463;21492;21822;21470;22262;22988;23694;25295;26195;26588;28535;35369
2207405;Palmeira do Piauí;24983;34172;42285;37505;35986;41179;69106;75468;50824;76900;84653;52442;72646;72493;54376;74283;70831
2207504;Palmeirais;53758;57397;66916;60993;68455;72834;73713;81060;78767;89517;82464;87506;98232;93704;94478;101728;105962
2207553;Paquetá;20250;22537;22372;20370;22340;23759;25593;26456;24001;27286;25681;26421;27466;28076;28482;34834;34540
2207603;Parnaguá;39737;44906;46858;49662;50723;56786;57095;64978;70753;78089;77057;79245;86590;82811;81994;84609;90083
2207702;Parnaíba;1020656;1002764;1080664;1179181;1417957;1316543;1356384;1467517;1651983;1724805;1818081;1942989;2092581;2103497;2077017;2129450;2322827
2207751;Passagem Franca do Piauí;19283;20928;20847;19331;20456;22646;27266;25399;29276;33868;33600;37039;41671;40473;36696;36930;35435
2207777;Patos do Piauí;23588;23484;25568;25111;32575;31190;34669;35995;34889;39621;37942;40755;43045;45375;45024;47510;48585
2207793;Pau D'Arco do Piauí;14838;16256;16870;17042;18206;21550;22935;22603;19776;21193;22627;21806;24529;23855;24203;25431;27192
2207801;Paulistana;93413;86457;97389;95730;115511;109658;133584;137796;285405;250170;185859;162402;182396;199546;219991;200886;205991
2207850;Pavussu;17340;20913;20200;20979;21374;22013;22527;24034;22990;25859;23334;24117;25851;25683;25409;29062;29983
2207900;Pedro II;141289;146288;151430;150113;182036;184476;195434;215757;238800;252589;258029;255648;290660;305787;300721;302663;321124
2207934;Pedro Laurentino;12308;12767;11471;11827;12984;14623;15859;16723;17636;18815;19595;19687;22943;20930;21481;21943;24602
2207959;Nova Santa Rita;15568;18752;19132;20857;20868;20338;24933;26054;25235;27541;27127;34478;41599;33497;32594;34476;36386
2208007;Picos;645361;598831;740245;819377;1020667;913885;954264;1032088;1166024;1242688;1294114;1412467;1518423;1445528;1514311;1489897;1516822
2208106;Pimenteiras;52833;56658;58714;58875;64560;63026;71711;69192;69586;76553;70230;75327;79274;78985;79123;83585;85841
2208205;Pio IX;68064;76732;82857;81149;96953;103697;123974;115334;122665;143936;122390;127159;135462;153084;140235;140323;173996
2208304;Piracuruca;125997;132361;140012;143540;160872;167248;166459;176227;198460;208555;213129;239153;265096;258934;257602;272067;281114
2208403;Piripiri;326319;308399;348328;362925;418408;420582;443157;482862;551241;565682;590623;608377;668023;684162;694781;686773;718877
2208502;Porto;44084;44485;45262;41207;46902;51707;53801;58425;62812;66084;68098;78067;83034;85788;81804;84511;90772
2208551;Porto Alegre do Piauí;12285;13583;13287;15499;18316;19249;26914;26800;20753;27425;28386;27851;28684;23377;23406;23718;22740
2208601;Prata do Piauí;11130;12963;13975;13466;14155;17217;17648;19640;19937;20208;19632;21468;22947;22536;22824;23035;24619
2208650;Queimada Nova;61067;43780;42992;43253;47553;58230;57578;52643;52148;56973;56515;60189;62740;67547;68053;71372;75026
2208700;Redenção do Gurguéia;36658;38292;41947;42303;45092;45928;53346;58827;54291;61237;63143;65058;68701;69373;63766;70442;73763
2208809;Regeneração;71571;74355;77165;77413;83730;89679;101874;114862;113034;124709;134266;135662;146068;157773;151361;164773;185292
2208858;Riacho Frio;23932;25764;25584;22741;23297;27513;29299;30392;28378;30720;31107;32790;34804;36044;35839;36726;37431
2208874;Ribeira do Piauí;15825;18525;18775;19090;20072;21918;22454;23830;22768;25721;23485;25737;27684;27949;47794;116346;229983
2208908;Ribeiro Gonçalves;96758;173084;174378;162844;131990;148674;263892;222840;139468;212964;277924;254901;347716;287295;134334;362414;399082
2209005;Rio Grande do Piauí;26890;32182;30824;33042;30709;32521;36930;38105;40322;39313;39810;43432;46398;47024;44758;46698;50419
2209104;Santa Cruz do Piauí;24399;24840;25346;26332;27371;28304;31252;34810;36161;41829;41808;46264;48833;48396;50134;51160;53106
2209153;Santa Cruz dos Milagres;23124;25872;22755;20810;20102;21613;21437;23047;25244;28087;26416;28696;32655;32896;33828;34063;34845
2209203;Santa Filomena;39957;71037;93616;106842;85794;97298;187812;165661;122349;164916;171984;131872;200123;238422;97716;222750;322460
2209302;Santa Luz;21794;25946;24774;26626;24746;26052;29732;33747;33540;40694;39126;41022;44284;43169;43241;47937;47510
2209351;Santana do Piauí;17580;17945;19425;19223;20753;21879;23835;25160;27677;29807;27316;27917;31287;33070;32269;34197;35553
2209377;Santa Rosa do Piauí;20068;22673;22465;21768;24553;25203;27548;29113;28854;31788;32586;34049;37510;36477;37905;37433;36933
2209401;Santo Antônio de Lisboa;23072;26350;27850;34551;41682;35882;40014;40644;46241;53593;48439;52096;53131;49640;49668;60787;61279
2209450;Santo Antônio dos Milagres;7734;9298;8632;8528;8942;9596;9787;10646;12326;14923;13267;13997;14757;14130;14475;13577;14126
2209500;Santo Inácio do Piauí;14842;15101;14809;15155;16363;17351;18649;21066;21349;25128;23268;25312;29196;28274;28819;28617;31539
2209559;São Braz do Piauí;16194;17120;18227;20530;19543;21053;21474;25428;23162;27858;24633;27398;27770;31284;29474;29158;32220
2209609;São Félix do Piauí;17583;18360;18097;15703;16630;17448;18828;18722;18757;20277;18986;22546;25206;24743;24789;25306;27495
2209658;São Francisco de Assis do Piauí;14196;17322;19675;20206;22563;25469;26221;27276;29940;31888;34868;37338;40330;41503;40119;40814;42227
2209708;São Francisco do Piauí;25271;24539;26064;25477;26373;26815;29555;35028;36897;42630;41494;48627;49792;49628;48789;50226;50839
2209757;São Gonçalo do Gurguéia;12246;14928;16567;15244;16096;16173;18347;19859;21171;22593;24319;26879;30006;29720;24189;30025;32270
