Cod;Municipio;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
1101500;Seringueiras;128816;178737;179632;179100;172609;165716;181848;182948;200274;211776;207287;214566;210038;211225;216793;243182;234981
1101559;Teixeirópolis;65433;81455;80321;77342;74292;73601;82285;82108;85384;89266;92415;91947;90791;92919;89556;87069;89304
1101609;Theobroma;130318;161372;154761;166182;164523;156213;183866;173911;180216;164473;183724;173950;172763;180039;183854;193349;191965
1101708;Urupá;154282;190585;200035;202049;190836;179635;208965;205573;207237;204700;188127;204545;215988;214426;212589;209073;217176
1101757;Vale do Anari;79298;104894;119392;138647;126968;131563;157838;151723;156215;141525;154228;135515;133595;138546;144207;149742;159963
1101807;Vale do Paraíso;112544;159146;147227;147892;143582;146653;169579;148374;152429;145567;140100;146904;148273;146034;141466;148726;150141
1200013;Acrelândia;128537;139941;156154;158894;162255;168236;175863;174372;208187;225062;236890;291612;261792;249395;259569;239963;236379
1200054;Assis Brasil;41489;41556;46589;53376;54974;60361;66787;65565;71750;73435;77121;87764;92376;90448;92429;95866;91486
1200104;Brasiléia;236808;244698;223347;230073;227505;249177;268858;295429;325645;320784;348624;400597;429450;454515;420884;405454;417839
1200138;Bujari;86756;101726;98558;118593;113625;113270;116980;113912;147309;161909;157607;163310;163628;173166;172999;165414;157797
1200179;Capixaba;105407;111794;118479;120743;127044;136346;124757;135497;185332;183108;189351;215735;187778;187531;192264;178673;170403
1200203;Cruzeiro do Sul;849955;831477;857338;908952;920799;1059706;1188323;1262379;1316658;1195746;1224849;1317486;1449482;1241978;1325243;1345738;1425685
1200252;Epitaciolândia;174522;181868;195636;201848;202720;229401;255490;248520;247603;251710;271302;364206;324360;323653;446602;455542;459388
1200302;Feijó;236231;242688;255609;278536;290315;275675;290006;320128;342417;323284;327910;363005;389878;377579;373216;366647;364112
1200328;Jordão;47198;47772;42314;47613;51579;63674;70680;70814;70413;72000;76144;79163;88774;85202;79879;82161;76929
1200336;Mâncio Lima;100927;106270;96173;103647;109995;122866;133463;148870;162941;165166;177838;203965;236481;210759;217827;203157;198112
1200344;Manoel Urbano;64674;67949;63982;63282;67402;72711;87151;92713;95291;93877;96654;108707;119221;139004;139578;141485;125008
1200351;Marechal Thaumaturgo;86662;90614;83359;90046;90853;127115;138236;155596;163942;149698;174834;198807;204542;186968;190782;204122;192830
1200385;Plácido de Castro;175466;178649;181832;203967;175204;195324;213207;221026;226489;240769;261125;271241;298554;296247;262784;252071;252906
1200393;Porto Walter;53634;55631;47288;48404;52460;73348;83076;88708;103001;95463;99031;111481;121559;114449;116236;117776;112156
1200401;Rio Branco;5969408;5823229;6273313;6624584;6755026;7361886;7924469;8667270;8753102;8697038;9158164;9248343;10297690;9670926;8536864;8519518;8940823
1200427;Rodrigues Alves;86776;89351;86053;96184;97982;119734;129495;149524;212125;179812;160042;206569;216043;194951;199023;193321;184545
1200435;Santa Rosa do Purus;29236;32446;32276;38314;39619;48956;57198;57377;61227;55436;54998;61319;67261;67909;67308;74474;71467
1200450;Senador Guiomard;236072;249353;250875;259122;274856;305319;303529;303248;315264;359541;374462;395114;410248;395207;352671;375949;373185
