Sigla;Código;Município;1970;1975;1980;1985;1996
AL;2705309;Minador do Negrão;85.27744103;1280.195188;690.415313;80.11243352;5219.384701
AL;2705408;Monteirópolis;48.7299663;83.99181286;153.7376486;327.4632705;1444.245136
AL;2705507;Murici;1888.376435;3301.820682;6130.851965;11895.20476;15878.42288
AL;2705606;Novo Lino;3316.705892;2443.373019;1911.503162;11004.17561;15556.08789
AL;2705705;Olho d'Água das Flores;1806.979343;2742.277642;4419.489361;8265.374475;11219.77872
AL;2705804;Olho d'Água do Casado;152.5969871;183.867903;235.2709588;933.1274774;2408.976928
AL;2705903;Olho d'Água Grande;693.770335;597.9906885;547.363145;762.9678663;1081.813136
AL;2706000;Olivença;435.952717;351.744881;301.3829073;778.2813123;2972.751083
AL;2706109;Ouro Branco;564.0042396;525.5945118;520.1417446;2181.57891;6445.50758
AL;2706208;Palestina;300.5014589;240.7833712;204.8843714;757.2048394;2184.792186
AL;2706307;Palmeira dos Índios;10717.25368;10335.86312;15292.67182;47466.60641;66110.57842
AL;2706406;Pão de Açúcar;2400.131322;3279.649651;4759.072663;11600.20772;15375.63833
AL;2706422;Pariconha;;;;;3260.966025
AL;2706448;Paripueira;;;;;4160.93308
AL;2706505;Passo de Camaragibe;914.3185529;1293.745244;1944.027638;4812.64126;5228.659449
AL;2706604;Paulo Jacinto;1395.662331;1952.380634;2900.354347;2714.785683;2361.096361
AL;2706703;Penedo;6591.81083;8759.999065;12362.48618;26658.72736;50511.55017
AL;2706802;Piaçabuçu;730.4982911;953.2484779;1320.977656;3366.961423;11546.05675
AL;2706901;Pilar;3806.261572;3695.400542;3810.016364;11541.59233;27263.63069
AL;2707008;Pindoba;417.8143407;284.0429131;205.0628594;393.0645028;1204.624675
AL;2707107;Piranhas;473.7635613;369.2182513;305.5674589;1357.941714;11546.99903
AL;2707206;Poço das Trincheiras;242.0254993;187.1480948;153.6781526;542.1273744;2728.424332
AL;2707305;Porto Calvo;2854.944341;2850.675807;3022.737607;5166.848565;7054.620737
AL;2707404;Porto de Pedras;1595.09423;1361.245448;1233.641503;2981.578977;3804.227506
AL;2707503;Porto Real do Colégio;2768.944974;2966.715137;3375.513154;7348.503456;11364.02654
AL;2707602;Quebrangulo;1126.203666;964.9941381;878.0815438;2577.167414;3671.402071
AL;2707701;Rio Largo;11705.75007;12645.56426;14507.06688;31012.09828;53149.22584
AL;2707800;Roteiro;15.16043396;55.77394307;217.8981285;753.0973596;2353.709131
AL;2707909;Santa Luzia do Norte;133.5562039;344.9231391;945.9823386;2893.020495;6367.296066
AL;2708006;Santana do Ipanema;5829.908783;8517.328732;13214.40138;24352.32519;27249.7292
AL;2708105;Santana do Mundaú;2001.267523;1434.767588;1092.34645;3019.533001;5687.779047
AL;2708204;São Brás;1081.805252;925.6588052;841.1146995;2261.420792;4867.128332
AL;2708303;São José da Laje;1902.544221;3390.097897;6414.933437;13116.41916;21277.15431
