Valor Total dos Rendimentos recebidos
Sigla,Código,Município,1970,1980,1991,2000,
AL,2705200,Messias,279.5878397406,512.5932964745,616.9304418279,848.8728046953,
AL,2705309,Minador do Negrão,209.4804203014,447.8462179211,385.8711328451,343.9988653468,
AL,2705408,Monteirópolis,118.6604995032,166.3550832892,189.1153289305,664.5929530309,
AL,2705507,Murici,1040.7031585804,1775.0992956142,1273.1554749377,1881.0564433731,
AL,2705606,Novo Lino,474.4631920048,1027.2680583605,953.6723712742,682.6520457855,
AL,2705705,Olho d'Água das Flores,395.5846129841,627.4886100512,891.7280873997,1767.4269278325,
AL,2705804,Olho d'Água do Casado,55.0654848311,200.6998898506,328.5705831877,318.1652257405,
AL,2705903,Olho d'Água Grande,50.4851514694,192.6104646816,126.866467235,237.7816803572,
AL,2706000,Olivença,156.7355474985,334.6166681009,284.754974191,424.7136674768,
AL,2706109,Ouro Branco,88.8066618,279.9817406508,295.6942171173,673.8626792222,
AL,2706208,Palestina,44.3641868821,90.247673345,120.8470157773,248.5084689641,
AL,2706307,Palmeira dos Índios,2461.737327884,4801.5498247451,5049.0733865155,7933.3779532405,
AL,2706406,Pão de Açúcar,419.2073029382,987.8315113932,1238.7216523503,2059.7970846725,
AL,2706422,Pariconha,,,,502.3272964587,
AL,2706448,Paripueira,,,,650.1617906139,
AL,2706505,Passo de Camaragibe,154.7889783087,648.283863561,542.3570324011,939.4150623621,
AL,2706604,Paulo Jacinto,217.5788826854,417.9147578489,217.8709612775,466.4255936284,
AL,2706703,Penedo,1340.7309413327,3174.3863281997,3952.3062534408,7096.7364190802,
AL,2706802,Piaçabuçu,306.777951184,729.2537910541,990.3185896126,1374.8009131924,
AL,2706901,Pilar,727.0242620065,2016.4245907761,1777.2596949117,2755.5226283119,
AL,2707008,Pindoba,140.7976498125,246.6562051555,186.7249115598,190.0318159083,
AL,2707107,Piranhas,109.9444315025,271.4461015582,1407.1068638035,1774.1501467836,
AL,2707206,Poço das Trincheiras,157.5986489317,249.2602771746,302.9476981915,462.4123640732,
AL,2707305,Porto Calvo,664.8355324244,1476.7358622161,1325.4286292106,1626.3244658422,
AL,2707404,Porto de Pedras,265.6042433961,461.4654428927,324.5808873522,516.3195858443,
AL,2707503,Porto Real do Colégio,311.8415440268,707.3054336646,676.0730376566,1085.4350264899,
AL,2707602,Quebrangulo,337.4185353224,666.5518409816,532.3828118087,881.8036653491,
AL,2707701,Rio Largo,1756.3640571488,3769.6646911364,3683.9798985993,6943.1790784604,
AL,2707800,Roteiro,48.3095172856,344.209707394,325.7079774135,449.2828173493,
AL,2707909,Santa Luzia do Norte,79.4294948292,222.7704307293,350.7712267381,533.2209029773,
AL,2708006,Santana do Ipanema,942.4236444322,2318.8089676568,1750.7965795472,3877.5571793658,
AL,2708105,Santana do Mundaú,438.6362671155,604.7291460588,502.4810234769,744.390796979,
AL,2708204,São Brás,130.2906221749,202.6324231322,215.7313251427,439.606802886,
AL,2708303,São José da Laje,1017.0650043229,1523.1296992565,1071.7225000305,1773.1696796339,
AL,2708402,São José da Tapera,373.1961677446,905.838907647,675.4225575828,1208.1699687906,
AL,2708501,São Luís do Quitunde,564.6674402241,1739.866048859,1438.9106049696,2050.3034286714,
AL,2708600,São Miguel dos Campos,1361.1940807995,4564.2344510128,3254.0409390163,6214.4525925955,
AL,2708709,São Miguel dos Milagres,96.3609740083,237.5201330084,194.4437303886,462.8562813987,
AL,2708808,São Sebastião,326.5683934532,855.7424225064,912.867366335,2043.2207371416,
AL,2708907,Satuba,252.4441212073,753.4447329703,674.2382990386,1618.9164067454,
AL,2708956,Senador Rui Palmeira,,,263.7475233017,460.1648364145,
AL,2709004,Tanque d'Arca,84.5858734923,262.3660357776,284.0109048981,425.8637873674,
AL,2709103,Taquarana,268.619782558,623.5594273996,645.0459946022,1056.548487461,
AL,2709152,Teotônio Vilela,,,1433.1137447673,3006.9837510456,
AL,2709202,Traipu,243.9426204162,761.4953121236,492.7437666541,1005.1334271294,
AL,2709301,União dos Palmares,1482.6333223189,3572.9311721648,3127.5544190033,5285.2186612659,
AL,2709400,Viçosa,778.6982317994,1442.8655863972,1216.9518497504,2405.0217433982,
AM,1300029,Alvarães,,,553.7745020952,1127.2964718777,
AM,1300060,Amaturá,,,201.603454645,425.8084845783,
AM,1300086,Anamã,,,436.9364683442,642.0812047894,
AM,1300102,Anori,349.5241853234,1379.9721393562,584.9795454018,1027.530555366,
AM,1300144,Apuí,,,525.1851066721,1790.0863783276,
AM,1300201,Atalaia do Norte,311.2461683461,527.4654062683,306.8016855764,762.9403390494,
AM,1300300,Autazes,735.3778853965,1153.3159869157,1195.2335364366,2118.2992298125,
AM,1300409,Barcelos,584.8415905213,1125.2904010946,866.5165038677,1657.5778893867,
AM,1300508,Barreirinha,362.8486157357,887.4347227429,781.5862371472,1371.6207271922,
AM,1300607,Benjamin Constant,698.3002849701,2394.6562840347,1674.0241616231,1757.0944872306,
AM,1300631,Beruri,,,332.4826735235,756.6492109142,
AM,1300680,Boa Vista do Ramos,,,371.7569423538,594.3246788161,
AM,1300706,Boca do Acre,848.9747920569,2254.0605449506,1560.3678473503,2540.0175295295,
AM,1300805,Borba,427.7735604998,1755.0012541603,1106.1487299435,1708.4658796071,
AM,1300839,Caapiranga,,,425.3559006619,691.2776384149,
AM,1300904,Canutama,224.0845218196,493.1046042886,607.5788162659,667.8456489503,
AM,1301001,Carauari,678.7302090244,1419.5682372606,1075.5005973845,1897.7550851366,
AM,1301100,Careiro,1625.3253492973,2590.1285396316,2717.9006653264,1962.7420409085,
AM,1301159,Careiro da Várzea,,,1203.6675867969,1443.2858934192,
AM,1301209,Coari,1122.7122925196,2945.6858537699,2201.6526869135,5415.5333080609,
AM,1301308,Codajás,436.0102350953,1010.8409430008,1001.2376961856,1211.177174309,
AM,1301407,Eirunepé,311.0760610087,1206.4218061437,825.5373907977,1808.7307226237,
AM,1301506,Envira,374.4874370781,962.7526669443,580.9902524364,836.1245751275,
AM,1301605,Fonte Boa,381.1989447513,1090.7570098958,845.6656474788,1438.5457188067,
AM,1301654,Guajará,,,580.9939331806,456.8421427175,
AM,1301704,Humaitá,608.3753607309,2656.6551420732,2553.0555830697,4344.1081489818,
AM,1301803,Ipixuna,368.308481353,971.6756012629,261.1094711141,573.7655071435,
AM,1301852,Iranduba,,,1508.9560728699,3645.2830547155,
AM,1301902,Itacoatiara,1415.3636025527,5703.937933721,4891.2410418065,8357.4426961808,
AM,1301951,Itamarati,,,582.0409345126,418.1897054995,
AM,1302009,Itapiranga,99.9042325235,530.1982929304,346.9526046424,541.4689199465,
AM,1302108,Japurá,105.0045530869,258.2973300657,662.5447810544,542.3210328938,
AM,1302207,Juruá,273.8022572331,714.518023159,218.8620474095,526.842188336,
AM,1302306,Jutaí,268.8855752726,928.5890073748,703.6798298392,1477.4763791837,
AM,1302405,Lábrea,491.9513861061,1878.8202637421,1916.2317069155,1873.4455672929,
AM,1302504,Manacapuru,1675.3311073614,6150.4849831585,4208.6629427637,7368.1063441598,
AM,1302553,Manaquiri,,,728.1278354561,1436.3202298826,
AM,1302603,Manaus,31457.0896924019,141159.215598391,204692.860792245,363753.330490687,
AM,1302702,Manicoré,834.031442383,2809.0149960484,2267.9529174096,2658.8624355276,
AM,1302801,Maraã,273.8921434966,607.1316399634,593.2864577864,967.227316772,
AM,1302900,Maués,1013.5014489094,2229.8234089832,2943.5651442252,3800.1397334187,
AM,1303007,Nhamundá,432.518202085,799.5432596412,705.4318339773,1053.3156333709,
AM,1303106,Nova Olinda do Norte,333.5369951704,1228.845814403,871.8137059981,1686.7814867821,
AM,1303205,Novo Airão,552.1867808658,358.1324420671,790.8698769862,897.6062533996,
AM,1303304,Novo Aripuanã,729.9731113601,946.2776549398,866.9853738053,1204.5148259775,
AM,1303403,Parintins,1601.4958242852,4632.6278128591,4598.4709113889,8372.5778558785,
AM,1303502,Pauini,326.2900359921,863.0052385103,1187.3066863592,654.8988760825,
AM,1303536,Presidente Figueiredo,,,1092.8087576557,3339.0720643052,
AM,1303569,Rio Preto da Eva,,,532.2255116485,1884.8108009529,
AM,1303601,Santa Isabel do Rio Negro,124.9187097832,377.7379411311,601.3759755359,586.4912233789,
AM,1303700,Santo Antônio do Içá,323.0164362673,853.7323316084,863.5287811892,1364.5137677001,
AM,1303809,São Gabriel da Cachoeira,610.7104705435,1246.1662985168,2200.3742218847,3389.918348199,
AM,1303908,São Paulo de Olivença,576.9547957901,1278.7129870764,384.3013911634,1154.0207886101,
AM,1303957,São Sebastião do Uatumã,,,500.0697235631,527.8939882798,
AM,1304005,Silves,139.7277133214,1216.802563781,566.7232894126,570.3047247563,
AM,1304062,Tabatinga,,,2034.7571402988,5380.486303305,
AM,1304104,Tapauá,466.2110531059,1468.7956828127,821.4708824397,959.914214415,
AM,1304203,Tefé,909.91477914,2859.5065276961,3970.1716437081,7600.1527057458,
AM,1304237,Tonantins,,,402.8131108993,883.9462832151,
AM,1304260,Uarini,,,501.5855086725,771.1010632959,
AM,1304302,Urucará,212.8835335672,806.5767183728,936.4681378681,2608.4394617441,
AM,1304401,Urucurituba,230.74287095,888.8691129979,563.138292107,773.8980308759,
AP,1600055,Serra do Navio,,,,434.0351463362,
AP,1600105,Amapá,399.8324638228,630.1471202585,611.217531898,981.6105161554,
AP,1600154,Pedra Branca do Amaparí,,,,377.443301372,
AP,1600204,Calçoene,147.4830614737,379.6252660736,492.0244373915,797.9080157618,
AP,1600212,Cutias,,,,276.1584700076,
AP,1600238,Ferreira Gomes,,,129.9442810509,366.3443694371,
AP,1600253,Itaubal,,,,251.7644670494,
AP,1600279,Laranjal do Jari,,,2469.1718553119,4441.1899157304,
AP,1600303,Macapá,6053.7335283442,17646.1883768341,30419.4004952083,71004.3442584115,
AP,1600402,Mazagão,581.6279149721,2256.0772221973,551.9454493314,1029.4134307835,
AP,1600501,Oiapoque,364.1476172209,632.2325285182,975.4898573147,3399.6762514756,
AP,1600535,Porto Grande,,,,1654.8220216272,
AP,1600550,Pracuúba,,,,216.907172695,
AP,1600600,Santana,,,5631.8995776458,12902.8179211125,
AP,1600709,Tartarugalzinho,,,350.8534421888,661.3490742954,
AP,1600808,Vitória do Jari,,,,910.5206122748,
BA,2900108,Abaíra,221.1008777835,574.9985024145,457.5714217531,900.3257055963,
BA,2900207,Abaré,130.3776088815,724.7278045605,638.8789675284,1101.6695762975,
BA,2900306,Acajutiba,235.0496794453,700.9553422151,647.9000927094,1101.6379355032,
BA,2900355,Adustina,,,601.4536492762,1244.4274689073,
BA,2900405,Água Fria,312.1798256635,632.1810474661,408.2079889791,862.2020322726,
BA,2900504,Érico Cardoso,119.4027860661,186.1788727675,332.134235229,895.6140533724,
BA,2900603,Aiquara,188.3204206629,627.7849509379,324.4458807401,470.9978956314,
BA,2900702,Alagoinhas,4499.2994453644,13492.1165064379,12339.1298338112,23279.3393317975,
BA,2900801,Alcobaça,897.6090597138,4157.1372556552,835.7063382575,2433.6359798832,
BA,2900900,Almadina,340.8951040293,537.5396522628,298.8222996263,642.5561196623,
BA,2901007,Amargosa,733.7357696798,1767.8207978277,1638.0580652964,3807.3400793023,
BA,2901106,Amélia Rodrigues,769.6477482377,1520.8294505747,1433.5820013974,3005.312815339,
BA,2901155,América Dourada,,,712.4111697782,1007.7275348371,
BA,2901205,Anagé,478.5612324044,1502.0379256396,1402.0909843483,1903.1879023942,
BA,2901304,Andaraí,674.3035521777,1591.9498296159,796.2449443278,1179.5706909078,
BA,2901353,Andorinha,,,773.1780247446,1199.0220575371,
BA,2901403,Angical,206.4987093032,569.7250773555,721.1314416158,1038.7127892097,
BA,2901502,Anguera,190.5579120603,471.1642222058,269.758939421,584.0089935939,
BA,2901601,Antas,523.8223488833,1287.869490346,841.0146407187,1397.6775379354,
BA,2901700,Antônio Cardoso,243.9851472505,608.708600025,305.5253874889,905.9452355983,
BA,2901809,Antônio Gonçalves,198.6157806478,385.6526264365,501.2140126252,700.5194885177,
BA,2901908,Aporá,252.5398065846,722.0703696754,652.21988776,1181.773088855,
BA,2901957,Apuarema,,,269.8955567703,521.5058489727,
