Código;Município;renda_1970;renda_1980;renda_1991;renda_2000
2704500;Maragogi;5,078,496,565,147;799,480,218,875;697,538,218,124;1,565,375,689,485
2704609;Maravilha;1,540,834,194,663;6,128,762,353,829;3,569,254,236,772;6,387,098,498,922
2704708;Marechal Deodoro;5,022,689,760,272;13,692,113,897,232;13,221,095,900,351;39,293,288,994,253
2704807;Maribondo;3,567,991,735,516;9,966,479,440,052;8,253,617,078,692;15,499,781,813,369
2704906;Mar Vermelho;942,597,617,845;1,186,404,369,053;1,521,385,532,846;2,601,227,099,959
2705002;Mata Grande;3,538,242,281,861;11,811,832,763,425;8,802,099,624,769;15,114,861,244,787
2705101;Matriz de Camaragibe;5,781,436,141,135;1,106,145,408,779;8,222,441,199,716;15,498,283,941,663
2705200;Messias;2,795,878,397,406;5,125,932,964,745;6,169,304,418,279;8,488,728,046,953
2705309;Minador do Negrão;2,094,804,203,014;4,478,462,179,211;3,858,711,328,451;3,439,988,653,468
2705408;Monteirópolis;1,186,604,995,032;1,663,550,832,892;1,891,153,289,305;6,645,929,530,309
2705507;Murici;10,407,031,585,804;17,750,992,956,142;12,731,554,749,377;18,810,564,433,731
2705606;Novo Lino;4,744,631,920,048;10,272,680,583,605;9,536,723,712,742;6,826,520,457,855
2705705;Olho d'Água das Flores;3,955,846,129,841;6,274,886,100,512;8,917,280,873,997;17,674,269,278,325
2705804;Olho d'Água do Casado;550,654,848,311;2,006,998,898,506;3,285,705,831,877;3,181,652,257,405
2705903;Olho d'Água Grande;504,851,514,694;1,926,104,646,816;126,866,467,235;2,377,816,803,572
2706000;Olivença;1,567,355,474,985;3,346,166,681,009;284,754,974,191;4,247,136,674,768
2706109;Ouro Branco;888,066,618;2,799,817,406,508;2,956,942,171,173;6,738,626,792,222
2706208;Palestina;443,641,868,821;90,247,673,345;1,208,470,157,773;2,485,084,689,641
2706307;Palmeira dos Índios;2,461,737,327,884;48,015,498,247,451;50,490,733,865,155;79,333,779,532,405
2706406;Pão de Açúcar;4,192,073,029,382;9,878,315,113,932;12,387,216,523,503;20,597,970,846,725
2706422;Pariconha;;;;5,023,272,964,587
2706448;Paripueira;;;;6,501,617,906,139
2706505;Passo de Camaragibe;1,547,889,783,087;648,283,863,561;5,423,570,324,011;9,394,150,623,621
2706604;Paulo Jacinto;2,175,788,826,854;4,179,147,578,489;2,178,709,612,775;4,664,255,936,284
2706703;Penedo;13,407,309,413,327;31,743,863,281,997;39,523,062,534,408;70,967,364,190,802
2706802;Piaçabuçu;306,777,951,184;7,292,537,910,541;9,903,185,896,126;13,748,009,131,924
2706901;Pilar;7,270,242,620,065;20,164,245,907,761;17,772,596,949,117;27,555,226,283,119
2707008;Pindoba;1,407,976,498,125;2,466,562,051,555;1,867,249,115,598;1,900,318,159,083
2707107;Piranhas;1,099,444,315,025;2,714,461,015,582;14,071,068,638,035;17,741,501,467,836
2707206;Poço das Trincheiras;1,575,986,489,317;2,492,602,771,746;3,029,476,981,915;4,624,123,640,732
2707305;Porto Calvo;6,648,355,324,244;14,767,358,622,161;13,254,286,292,106;16,263,244,658,422
2707404;Porto de Pedras;2,656,042,433,961;4,614,654,428,927;3,245,808,873,522;5,163,195,858,443
2707503;Porto Real do Colégio;3,118,415,440,268;7,073,054,336,646;6,760,730,376,566;10,854,350,264,899
2707602;Quebrangulo;3,374,185,353,224;6,665,518,409,816;5,323,828,118,087;8,818,036,653,491
2707701;Rio Largo;17,563,640,571,488;37,696,646,911,364;36,839,798,985,993;69,431,790,784,604
2707800;Roteiro;483,095,172,856;344,209,707,394;3,257,079,774,135;4,492,828,173,493
