1300680;Boa Vista do Ramos;;;372;594
1300706;Boca do Acre;849;2254;1560;2540
1300805;Borba;428;1755;1106;1708
1300839;Caapiranga;;;425;691
1300904;Canutama;224;493;608;668
1301001;Carauari;679;1420;1076;1898
1301100;Careiro;1625;2590;2718;1963
1301159;Careiro da Várzea;;;1204;1443
1301209;Coari;1123;2946;2202;5416
1301308;Codajás;436;1011;1001;1211
1301407;Eirunepé;311;1206;826;1809
1301506;Envira;374;963;581;836
1301605;Fonte Boa;381;1091;846;1439
1301654;Guajará;;;581;457
1301704;Humaitá;608;2657;2553;4344
1301803;Ipixuna;368;972;261;574
1301852;Iranduba;;;1509;3645
1301902;Itacoatiara;1415;5704;4891;8357
1301951;Itamarati;;;582;418
1302009;Itapiranga;100;530;347;541
1302108;Japurá;105;258;663;542
1302207;Juruá;274;715;219;527
1302306;Jutaí;269;929;704;1477
1302405;Lábrea;492;1879;1916;1873
1302504;Manacapuru;1675;6150;4209;7368
1302553;Manaquiri;;;728;1436
1302603;Manaus;31457;141159;204693;363753
1302702;Manicoré;834;2809;2268;2659
1302801;Maraã;274;607;593;967
1302900;Maués;1014;2230;2944;3800
1303007;Nhamundá;433;800;705;1053
1303106;Nova Olinda do Norte;334;1229;872;1687
1303205;Novo Airão;552;358;791;898
1303304;Novo Aripuanã;730;946;867;1205
1303403;Parintins;1601;4633;4598;8373
1303502;Pauini;326;863;1187;655
1303536;Presidente Figueiredo;;;1093;3339
1303569;Rio Preto da Eva;;;532;1885
1303601;Santa Isabel do Rio Negro;125;378;601;586
1303700;Santo Antônio do Içá;323;854;864;1365
1303809;São Gabriel da Cachoeira;611;1246;2200;3390
1303908;São Paulo de Olivença;577;1279;384;1154
1303957;São Sebastião do Uatumã;;;500;528
1304005;Silves;140;1217;567;570
1304062;Tabatinga;;;2035;5380
1304104;Tapauá;466;1469;821;960
1304203;Tefé;910;2860;3970;7600
1304237;Tonantins;;;403;884
1304260;Uarini;;;502;771
1304302;Urucará;213;807;936;2608
1304401;Urucurituba;231;889;563;774
1600055;Serra do Navio;;;;434
1600105;Amapá;400;630;611;982
1600154;Pedra Branca do Amaparí;;;;377
1600204;Calçoene;147;380;492;798
1600212;Cutias;;;;276
1600238;Ferreira Gomes;;;130;366
1600253;Itaubal;;;;252
1600279;Laranjal do Jari;;;2469;4441
1600303;Macapá;6054;17646;30419;71004
1600402;Mazagão;582;2256;552;1029
1600501;Oiapoque;364;632;975;3400
1600535;Porto Grande;;;;1655
1600550;Pracuúba;;;;217
1600600;Santana;;;5632;12903
1600709;Tartarugalzinho;;;351;661
1600808;Vitória do Jari;;;;911
2900108;Abaíra;221;575;458;900
2900207;Abaré;130;725;639;1102
2900306;Acajutiba;235;701;648;1102
2900355;Adustina;;;601;1244
2900405;Água Fria;312;632;408;862
2900504;Érico Cardoso;119;186;332;896
2900603;Aiquara;188;628;324;471
2900702;Alagoinhas;4499;13492;12339;23279
2900801;Alcobaça;898;4157;836;2434
2900900;Almadina;341;538;299;643
2901007;Amargosa;734;1768;1638;3807
2901106;Amélia Rodrigues;770;1521;1434;3005
2901155;América Dourada;;;712;1008
2901205;Anagé;479;1502;1402;1903
2901304;Andaraí;674;1592;796;1180
2901353;Andorinha;;;773;1199
2901403;Angical;206;570;721;1039
2901502;Anguera;191;471;270;584
2901601;Antas;524;1288;841;1398
2901700;Antônio Cardoso;244;609;306;906
2901809;Antônio Gonçalves;199;386;501;701
2901908;Aporá;253;722;652;1182
2901957;Apuarema;;;270;522
2902005;Aracatu;252;697;449;1066
2902054;Araças;;;365;649
2902104;Araci;550;1674;1411;2781
2902203;Aramari;249;541;336;885
2902252;Arataca;;;430;795
2902302;Aratuípe;277;420;364;690
2902401;Aurelino Leal;422;1873;609;1053
2902500;Baianópolis;190;368;489;938
2902609;Baixa Grande;337;1124;672;1496
2902658;Banzaê;;;470;747
2902708;Barra;1092;3031;1261;2462
2902807;Barra da Estiva;262;1049;766;2363
2902906;Barra do Choça;280;1514;1255;2890
2903003;Barra do Mendes;320;821;744;1208
2903102;Barra do Rocha;286;648;338;637
2903201;Barreiras;504;5200;11601;29864
2903235;Barro Alto;;;528;900
2903276;Barrocas;;;;
2903300;Governador Lomanto Júnior;240;656;269;701
2903409;Belmonte;1094;1969;1192;2314
2903508;Belo Campo;266;873;754;1733
2903607;Biritinga;234;575;621;1175
2903706;Boa Nova;706;1381;436;1103
2903805;Boa Vista do Tupim;527;902;1557;1066
2903904;Bom Jesus da Lapa;1375;4537;3670;6854
2903953;Bom Jesus da Serra;;;365;525
2904001;Boninal;271;451;570;950
2904050;Bonito;;;562;971
2904100;Boquira;593;1119;777;1778
2904209;Botuporã;453;771;252;615
2904308;Brejões;255;860;601;1576
2904407;Brejolândia;146;475;454;473
2904506;Brotas de Macaúbas;277;500;531;819
2904605;Brumado;1497;4864;6145;8298
2904704;Buerarema;811;2904;1037;1617
2904753;Buritirama;;;356;696
2904803;Caatiba;231;672;519;1026
2904852;Cabaceiras do Paraguaçu;;;404;1002
2904902;Cachoeira;1240;2376;1682;3620
2905008;Caculé;358;833;826;2945
2905107;Caém;186;512;550;799
2905156;Caetanos;;;346;797
2905206;Caetité;1116;2789;2220;4906
2905305;Cafarnaum;362;1457;577;1371
2905404;Cairu;273;831;802;930
2905503;Caldeirão Grande;267;803;642;654
2905602;Camacan;1205;4702;2526;3301
2905701;Camaçari;2408;12464;11334;26234
2905800;Camamu;1064;4616;1421;2632
2905909;Campo Alegre de Lourdes;339;1049;1806;1749
2906006;Campo Formoso;1151;4492;2563;5578
2906105;Canápolis;206;463;288;783
2906204;Canarana;540;1923;1337;1877
2906303;Canavieiras;1666;4850;1655;4232
2906402;Candeal;282;520;406;698
2906501;Candeias;2402;6871;6472;11322
2906600;Candiba;318;609;477;861
2906709;Cândido Sales;422;1549;1260;3121
2906808;Cansanção;295;1375;1676;1775
2906824;Canudos;;;534;1027
2906857;Capela do Alto Alegre;;;909;1270
2906873;Capim Grosso;;;930;2500
2906899;Caraíbas;;;584;1275
2906907;Caravelas;810;3645;1068;3809
2907004;Cardeal da Silva;80;281;292;568
2907103;Carinhanha;736;1638;928;1781
2907202;Casa Nova;316;1677;2591;4936
2907301;Castro Alves;1307;2696;1338;2019
2907400;Catolândia;3;170;134;194
2907509;Catu;1385;4784;3245;6467
2907558;Caturama;;;366;568
2907608;Central;353;1362;743;1366
2907707;Chorrochó;197;562;564;697
2907806;Cícero Dantas;777;2497;1392;3148
2907905;Cipó;183;662;703;1434
2908002;Coaraci;1013;3069;1548;2728
2908101;Cocos;235;942;715;1471
2908200;Conceição da Feira;472;1171;934;1635
2908309;Conceição do Almeida;628;1255;979;1784
2908408;Conceição do Coité;1360;3895;2649;5278
2908507;Conceição do Jacuípe;764;1705;1744;3646
2908606;Conde;471;985;606;1683
2908705;Condeúba;554;1161;1090;1943
2908804;Contendas do Sincorá;233;454;267;410
2908903;Coração de Maria;560;1512;1469;2179
2909000;Cordeiros;249;370;393;686
2909109;Coribe;510;720;804;786
2909208;Coronel João Sá;243;732;691;1100
2909307;Correntina;827;1836;1419;2738
2909406;Cotegipe;443;1616;524;1030
2909505;Cravolândia;127;393;162;370
2909604;Crisópolis;304;1155;884;1524
2909703;Cristópolis;21;313;654;977
2909802;Cruz das Almas;1355;4126;3766;8315
2909901;Curaçá;513;1071;1339;2716
2910008;Dário Meira;317;852;425;839
2910057;Dias d'Ávila;;;3310;6592
2910107;Dom Basílio;121;353;485;907
2910206;Dom Macedo Costa;196;378;163;364
2910305;Elísio Medrado;192;443;349;833
2910404;Encruzilhada;587;1631;956;2655
2910503;Entre Rios;714;1671;1418;4095
2910602;Esplanada;683;1499;1340;2250
2910701;Euclides da Cunha;959;3075;2035;4222
2910727;Eunápolis;;;6230;16295
2910750;Fátima;;;567;1547
2910776;Feira da Mata;;;455;427
2910800;Feira de Santana;14472;40318;49097;97877
2910859;Filadélfia;;;613;910
2910909;Firmino Alves;240;414;313;494
2911006;Floresta Azul;583;1630;618;996
2911105;Formosa do Rio Preto;146;939;1181;2365
2911204;Gandu;732;3427;2682;4032
2911253;Gavião;;;481;381
2911303;Gentio do Ouro;260;501;758;538
2911402;Glória;129;516;581;1131
2911501;Gongogi;406;546;278;600
2911600;Governador Mangabeira;369;1641;709;1612
2911659;Guajeru;;;287;1111
2911709;Guanambi;1137;4512;5221;10814
2911808;Guaratinga;820;1773;1643;1943
2911857;Heliópolis;;;397;998
2911907;Iaçu;619;1792;1132;2474
2912004;Ibiassucê;173;502;484;1357
2912103;Ibicaraí;1277;2860;1630;3041
2912202;Ibicoara;132;393;322;1900
2912301;Ibicuí;470;1170;1501;1710
2912400;Ibipeba;250;762;855;1248
2912509;Ibipitanga;176;476;663;1266
2912608;Ibiquera;214;414;233;290
2912707;Ibirapitanga;542;1785;947;1549
2912806;Ibirapuã;423;688;461;843
2912905;Ibirataia;550;2367;1240;2292
2913002;Ibitiara;419;1370;597;1195
2913101;Ibititá;230;1239;796;1499
2913200;Ibotirama;317;1097;1324;3416
2913309;Ichu;86;322;402;526
2913408;Igaporã;326;740;586;1467
2913457;Igrapiúna;;;586;944
2913507;Iguaí;651;1444;1177;2202
2913606;Ilhéus;7390;19866;17786;37456
2913705;Inhambupe;495;1421;1126;2304
2913804;Ipecaetá;327;865;682;1279
2913903;Ipiaú;1339;5670;3828;5816
2914000;Ipirá;1339;4083;3151;5523
2914109;Ipupiara;141;287;352;712
2914208;Irajuba;164;449;206;445
2914307;Iramaia;302;827;588;1165
2914406;Iraquara;290;678;641;1307
2914505;Irará;549;1348;1093;2360
2914604;Irecê;2327;11859;4706;8928
2914653;Itabela;;;1149;2566
2914703;Itaberaba;1306;3618;2960;7109
2914802;Itabuna;9521;28281;22987;40147
2914901;Itacaré;592;1158;1054;1704
2915007;Itaeté;707;1010;452;840
2915106;Itagi;363;938;542;1353
2915205;Itagibá;471;1323;823;1269
2915304;Itagimirim;297;547;492;1097
2915353;Itaguaçu da Bahia;;;441;752
2915403;Itaju do Colônia;334;780;333;796
2915502;Itajuípe;1117;2582;1415;2167
2915601;Itamaraju;1884;7062;5464;9059
2915700;Itamari;287;999;537;883
2915809;Itambé;1076;1783;1206;2352
2915908;Itanagra;97;326;212;513
2916005;Itanhém;769;2010;1608;2513
2916104;Itaparica;523;1414;814;2471
2916203;Itapé;434;734;479;1104
2916302;Itapebi;600;809;459;959
2916401;Itapetinga;2616;6111;4888;9169
2916500;Itapicuru;398;1027;1044;1694
2916609;Itapitanga;303;763;557;833
2916708;Itaquara;223;477;287;644
2916807;Itarantim;551;1096;685;1626
2916856;Itatim;;;426;1154
2916906;Itiruçu;350;850;603;1507
2917003;Itiúba;609;1745;1566;2408
2917102;Itororó;878;1990;1088;2135
2917201;Ituaçu;368;854;923;2031
2917300;Ituberá;607;2751;897;2271
2917334;Iuiú;;;512;754
2917359;Jaborandi;;;438;631
2917409;Jacaraci;170;820;553;1169
2917508;Jacobina;2789;9511;5787;11104
2917607;Jaguaquara;830;2879;2249;5330
2917706;Jaguarari;443;2229;1645;2934
2917805;Jaguaripe;265;648;733;981
2917904;Jandaíra;128;368;315;577
2918001;Jequié;4850;13499;11340;20287
2918100;Jeremoabo;695;2013;2029;2762
2918209;Jiquiriçá;217;659;497;1251
2918308;Jitaúna;487;1194;826;1449
2918357;João Dourado;;;932;1848
2918407;Juazeiro;3317;13012;10625;30282
2918456;Jucuruçu;;;536;1008
2918506;Jussara;583;1090;612;1134
2918555;Jussari;;;313;635
