"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Rendimento nominal total (operação: Soma)";"Freqüência";"Observações"
"9115";"Município (1991)";"313590";"Jesuânia";"2116";"1991";"8004";"1991";"90.417.802";"4345";"955"
"9115";"Município (1991)";"411275";"Jesuítas";"2117";"1991";"8004";"1991";"304.170.889";"12841";"2762"
"9115";"Município (1991)";"110012";"Ji-Paraná";"2118";"1991";"8004";"1991";"3.276.641.196";"97799";"9860"
"9115";"Município (1991)";"291820";"Jiquiriçá";"2119";"1991";"8004";"1991";"136.353.316";"11763";"2554"
"9115";"Município (1991)";"291830";"Jitaúna";"2120";"1991";"8004";"1991";"226.155.752";"20806";"2820"
"9115";"Município (1991)";"420900";"Joaçaba";"2121";"1991";"8004";"1991";"1.779.820.781";"28139";"2908"
"9115";"Município (1991)";"313600";"Joaíma";"2122";"1991";"8004";"1991";"314.043.475";"18304";"2209"
"9115";"Município (1991)";"313610";"Joanésia";"2123";"1991";"8004";"1991";"85.058.666";"6941";"1220"
"9115";"Município (1991)";"352550";"Joanópolis";"2124";"1991";"8004";"1991";"359.697.038";"8186";"1676"
"9115";"Município (1991)";"260810";"João Alfredo";"2125";"1991";"8004";"1991";"432.579.531";"27419";"3068"
"9115";"Município (1991)";"240580";"João Câmara";"2126";"1991";"8004";"1991";"371.231.318";"25854";"2831"
"9115";"Município (1991)";"240590";"João Dias";"2127";"1991";"8004";"1991";"23.749.912";"2654";"558"
"9115";"Município (1991)";"291835";"João Dourado";"2128";"1991";"8004";"1991";"256.145.281";"19211";"2047"
"9115";"Município (1991)";"210550";"João Lisboa";"2129";"1991";"8004";"1991";"578.328.720";"53249";"5267"
"9115";"Município (1991)";"313620";"João Monlevade";"2130";"1991";"8004";"1991";"2.226.490.168";"59340";"6066"
"9115";"Município (1991)";"320313";"João Neiva";"2131";"1991";"8004";"1991";"496.806.261";"13472";"1367"
"9115";"Município (1991)";"250750";"João Pessoa";"2132";"1991";"8004";"1991";"24.867.226.218";"497600";"50410"
"9115";"Município (1991)";"313630";"João Pinheiro";"2133";"1991";"8004";"1991";"1.345.500.547";"49956";"4961"
"9115";"Município (1991)";"352560";"João Ramalho";"2134";"1991";"8004";"1991";"98.019.633";"3056";"674"
"9115";"Município (1991)";"313640";"Joaquim Felício";"2135";"1991";"8004";"1991";"67.749.339";"4441";"971"
"9115";"Município (1991)";"270380";"Joaquim Gomes";"2136";"1991";"8004";"1991";"248.179.831";"24201";"2350"
"9115";"Município (1991)";"260820";"Joaquim Nabuco";"2137";"1991";"8004";"1991";"181.515.110";"15702";"1508"
"9115";"Município (1991)";"220540";"Joaquim Pires";"2138";"1991";"8004";"1991";"116.258.917";"14629";"1575"
"9115";"Município (1991)";"411280";"Joaquim Távora";"2139";"1991";"8004";"1991";"284.599.926";"9875";"2033"
"9115";"Município (1991)";"431115";"Jóia";"2140";"1991";"8004";"1991";"191.269.232";"7507";"1627"
"9115";"Município (1991)";"420910";"Joinville";"2141";"1991";"8004";"1991";"21.878.068.525";"347151";"34699"
"9115";"Município (1991)";"313650";"Jordânia";"2142";"1991";"8004";"1991";"201.718.270";"9524";"1969"
"9115";"Município (1991)";"420915";"José Boiteux";"2143";"1991";"8004";"1991";"117.261.732";"4044";"771"
"9115";"Município (1991)";"352570";"José Bonifácio";"2144";"1991";"8004";"1991";"1.279.888.514";"26488";"2822"
"9115";"Município (1991)";"240600";"José da Penha";"2145";"1991";"8004";"1991";"46.182.502";"5531";"1162"
"9115";"Município (1991)";"220550";"José de Freitas";"2146";"1991";"8004";"1991";"296.533.679";"29451";"3218"
"9115";"Município (1991)";"210560";"Joselândia";"2147";"1991";"8004";"1991";"149.079.347";"15267";"1581"
"9115";"Município (1991)";"521210";"Joviânia";"2148";"1991";"8004";"1991";"277.284.797";"6538";"1406"
"9115";"Município (1991)";"510510";"Juara";"2149";"1991";"8004";"1991";"662.006.460";"21712";"2236"
"9115";"Município (1991)";"250760";"Juarez Távora";"2150";"1991";"8004";"1991";"82.627.168";"7219";"1789"
"9115";"Município (1991)";"250770";"Juazeirinho";"2151";"1991";"8004";"1991";"167.236.446";"17341";"1998"
"9115";"Município (1991)";"291840";"Juazeiro";"2152";"1991";"8004";"1991";"2.913.670.158";"128767";"13590"
