"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Total de rendimentos brutos (operação: Soma)";"Freqüência";"Observações"
"9035";"Município";"2803906";"Malhador";"2838";"2000";"8005";"2000";"1.064.342";"11481";"2288"
"9035";"Município";"4113908";"Mallet";"2839";"2000";"8005";"2000";"2.636.070";"12602";"2693"
"9035";"Município";"2508802";"Malta";"2840";"2000";"8005";"2000";"591.564";"5692";"1157"
"9035";"Município";"2508901";"Mamanguape";"2841";"2000";"8005";"2000";"3.879.352";"38772";"3901"
"9035";"Município";"5212709";"Mambaí";"2842";"2000";"8005";"2000";"463.190";"4838";"727"
"9035";"Município";"4114005";"Mamborê";"2843";"2000";"8005";"2000";"2.646.877";"15156";"3089"
"9035";"Município";"3139250";"Mamonas";"2844";"2000";"8005";"2000";"557.732";"6138";"1269"
"9035";"Município";"4311734";"Mampituba";"2845";"2000";"8005";"2000";"474.072";"3106";"684"
"9035";"Município";"1302504";"Manacapuru";"2846";"2000";"8005";"2000";"7.461.262";"73695";"7760"
"9035";"Município";"2509008";"Manaíra";"2847";"2000";"8005";"2000";"642.551";"10473";"2479"
"9035";"Município";"1302553";"Manaquiri";"2848";"2000";"8005";"2000";"1.454.480";"12711";"1183"
"9035";"Município";"2609154";"Manari";"2849";"2000";"8005";"2000";"356.621";"13028";"3073"
"9035";"Município";"1302603";"Manaus";"2850";"2000";"8005";"2000";"368.352.307";"1405835";"139595"
"9035";"Município";"1200336";"Mâncio Lima";"2851";"2000";"8005";"2000";"1.053.391";"11095";"2226"
"9035";"Município";"4114104";"Mandaguaçu";"2852";"2000";"8005";"2000";"3.976.814";"16828";"1803"
"9035";"Município";"4114203";"Mandaguari";"2853";"2000";"8005";"2000";"7.512.739";"31395";"3350"
"9035";"Município";"4114302";"Mandirituba";"2854";"2000";"8005";"2000";"4.039.335";"17540";"1914"
"9035";"Município";"3528601";"Manduri";"2855";"2000";"8005";"2000";"2.041.085";"8271";"1581"
"9035";"Município";"4114351";"Manfrinópolis";"2856";"2000";"8005";"2000";"449.262";"3802";"825"
"9035";"Município";"3139300";"Manga";"2857";"2000";"8005";"2000";"1.884.531";"21959";"2821"
"9035";"Município";"3302601";"Mangaratiba";"2858";"2000";"8005";"2000";"8.248.059";"24901";"2603"
"9035";"Município";"4114401";"Mangueirinha";"2859";"2000";"8005";"2000";"3.474.395";"17760";"1783"
"9035";"Município";"3139409";"Manhuaçu";"2860";"2000";"8005";"2000";"18.443.822";"67123";"7452"
"9035";"Município";"3139508";"Manhumirim";"2861";"2000";"8005";"2000";"4.185.363";"20025";"2110"
"9035";"Município";"1302702";"Manicoré";"2862";"2000";"8005";"2000";"2.692.479";"38038";"3824"
"9035";"Município";"2205904";"Manoel Emídio";"2863";"2000";"8005";"2000";"343.008";"5151";"1162"
"9035";"Município";"4114500";"Manoel Ribas";"2864";"2000";"8005";"2000";"2.127.742";"13066";"2831"
"9035";"Município";"1200344";"Manoel Urbano";"2865";"2000";"8005";"2000";"648.766";"6374";"1174"
"9035";"Município";"4311759";"Manoel Viana";"2866";"2000";"8005";"2000";"1.091.344";"6995";"1465"
"9035";"Município";"2920403";"Manoel Vitorino";"2867";"2000";"8005";"2000";"1.117.603";"16807";"4458"
"9035";"Município";"2920452";"Mansidão";"2868";"2000";"8005";"2000";"492.159";"11046";"2431"
"9035";"Município";"3139607";"Mantena";"2869";"2000";"8005";"2000";"6.427.036";"26872";"2998"
"9035";"Município";"3203304";"Mantenópolis";"2870";"2000";"8005";"2000";"2.051.546";"12201";"2415"
"9035";"Município";"4311775";"Maquiné";"2871";"2000";"8005";"2000";"1.673.201";"7304";"1552"
"9035";"Município";"3139805";"Mar de Espanha";"2872";"2000";"8005";"2000";"2.444.656";"10567";"2129"
"9035";"Município";"2704906";"Mar Vermelho";"2873";"2000";"8005";"2000";"263.411";"4078";"1000"
"9035";"Município";"5212808";"Mara Rosa";"2874";"2000";"8005";"2000";"1.814.523";"11939";"2418"
"9035";"Município";"1302801";"Maraã";"2875";"2000";"8005";"2000";"979.456";"17079";"1837"
"9035";"Município";"1504208";"Marabá";"2876";"2000";"8005";"2000";"31.786.110";"168020";"17378"
"9035";"Município";"3528700";"Marabá Paulista";"2877";"2000";"8005";"2000";"512.720";"3784";"889"
"9035";"Município";"2106326";"Maracaçumé";"2878";"2000";"8005";"2000";"1.498.835";"14866";"2986"
"9035";"Município";"3528809";"Maracaí";"2879";"2000";"8005";"2000";"3.003.796";"13004";"2660"
"9035";"Município";"4210407";"Maracajá";"2880";"2000";"8005";"2000";"2.249.602";"5541";"1182"
"9035";"Município";"5005400";"Maracaju";"2881";"2000";"8005";"2000";"6.445.868";"26219";"2586"
"9035";"Município";"1504307";"Maracanã";"2882";"2000";"8005";"2000";"1.819.855";"27571";"3231"
"9035";"Município";"2307650";"Maracanaú";"2883";"2000";"8005";"2000";"23.327.712";"179732";"17839"
"9035";"Município";"2920502";"Maracás";"2884";"2000";"8005";"2000";"2.330.149";"31683";"3448"
"9035";"Município";"2704500";"Maragogi";"2885";"2000";"8005";"2000";"1.585.167";"21832";"2421"
"9035";"Município";"2920601";"Maragogipe";"2886";"2000";"8005";"2000";"3.431.331";"41418";"5073"
"9035";"Município";"2609204";"Maraial";"2887";"2000";"8005";"2000";"881.764";"14706";"3659"
"9035";"Município";"2106359";"Marajá do Sena";"2888";"2000";"8005";"2000";"480.400";"7161";"1535"
"9035";"Município";"2307700";"Maranguape";"2889";"2000";"8005";"2000";"9.267.286";"88135";"9256"
"9035";"Município";"2106375";"Maranhãozinho";"2890";"2000";"8005";"2000";"326.877";"8445";"1542"
"9035";"Município";"1504406";"Marapanim";"2891";"2000";"8005";"2000";"2.009.855";"24718";"2515"
"9035";"Município";"3528858";"Marapoama";"2892";"2000";"8005";"2000";"440.592";"2238";"483"
"9035";"Município";"4311791";"Maratá";"2893";"2000";"8005";"2000";"650.762";"2513";"515"
"9035";"Município";"3203320";"Marataízes";"2894";"2000";"8005";"2000";"7.046.153";"30603";"3196"
"9035";"Município";"4311809";"Marau";"2895";"2000";"8005";"2000";"10.027.119";"28361";"2862"
"9035";"Município";"2920700";"Maraú";"2896";"2000";"8005";"2000";"1.968.711";"19621";"2698"
"9035";"Município";"2704609";"Maravilha";"2897";"2000";"8005";"2000";"646.785";"13687";"1514"
"9035";"Município";"4210506";"Maravilha";"2898";"2000";"8005";"2000";"5.461.272";"18521";"1875"
"9035";"Município";"3139706";"Maravilhas";"2899";"2000";"8005";"2000";"954.150";"6232";"1298"
"9035";"Município";"2509057";"Marcação";"2900";"2000";"8005";"2000";"289.889";"6203";"1214"
"9035";"Município";"5105580";"Marcelândia";"2901";"2000";"8005";"2000";"4.821.297";"14448";"3014"
"9035";"Município";"4311908";"Marcelino Ramos";"2902";"2000";"8005";"2000";"1.463.195";"6108";"1290"
"9035";"Município";"2407302";"Marcelino Vieira";"2903";"2000";"8005";"2000";"624.954";"8373";"1800"
"9035";"Município";"2920809";"Marcionílio Souza";"2904";"2000";"8005";"2000";"913.135";"10775";"2077"
"9035";"Município";"2307809";"Marco";"2905";"2000";"8005";"2000";"1.623.231";"20427";"2062"
"9035";"Município";"2205953";"Marcolândia";"2906";"2000";"8005";"2000";"581.537";"6178";"1234"
